kode_kemendagri;kode_pos;kelurahan;kecamatan;kota;provinsi
11.01.01.2001;23773;Keude Bakongan;Bakongan;Kabupaten Aceh Selatan;Aceh
11.01.01.2002;23773;Ujong Mangki;Bakongan;Kabupaten Aceh Selatan;Aceh
11.01.01.2003;23773;Ujong Padang;Bakongan;Kabupaten Aceh Selatan;Aceh
11.01.01.2004;23773;Gampong Drien;Bakongan;Kabupaten Aceh Selatan;Aceh
11.01.01.2015;23773;Darul Ikhsan;Bakongan;Kabupaten Aceh Selatan;Aceh
11.01.01.2016;23773;Padang Beurahan;Bakongan;Kabupaten Aceh Selatan;Aceh
11.01.01.2017;23773;Gampong Baro;Bakongan;Kabupaten Aceh Selatan;Aceh
11.01.02.2001;23771;Fajar Harapan;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2002;23771;Krueng Batee;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2003;23771;Pasi Kuala Asahan;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2004;23771;Gunung Pulo;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2005;23771;Pulo Ie I;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2006;23771;Jambo Manyang;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2007;23771;Simpang Empat;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2008;23771;Limau Purut;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2009;23771;Pulo Kambing;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2010;23771;Kampung Paya;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2011;23771;Krueng Batu;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2012;23771;Krueng Kluet;Kluet Utara;Kabupaten Aceh Selatan;Aceh
11.01.02.2013;23771;Alur Mas;Kluet Utara;Kabupaten Aceh Selatan;Aceh
